cache_key,cl_cluster_id,idb_docket,circuit,agency,agency_name,cl_case_name,date_filed,outcome,outcome_label,apptype,nos,juris,administration_case,judgment_date,doctrine_era_judgment,administration_judgment,usapt,usape,claude_challenged_fr,claude_reasoning,fr_lookup_status,fr_citation_official,fr_document_number,fr_publication_date,fr_title,fr_agency_name,fr_parent_department,fr_sub_agency,is_independent_agency,rin_numbers,cfr_references,fr_html_url,fr_significant,fr_type,administration_rule,fr_abstract,fr_explanation,fr_cfr_topics,fr_cfr_references,fr_cfr_ref_titles,fr_topics,fr_page_length,fr_president,fr_action,fr_effective_on,fr_rin,fr_authority_raw,fr_authority_usc,fr_authority_titles
"187233:71 FR 75,422",187233,04-1243,0,7,EPA,Sierra Club v. Environmental Protection Agency,07/20/2004,2,Reversed/Vacated,1,-9,-9,Bush43,08/19/2008,Chevron Era,Bush43,0,0,"71 FR 75,422","The court explicitly states ""Several environmental groups challenge the 2006 rule and the monitoring provisions of the 1992 Part 70 Rules,"" referring to the final rule published at 71 Fed. Reg. 75,422 (Dec. 15, 2006). The court grants the petition and vacates the 2006 rule, stating ""We grant the petition for review with respect to the 2006 rule, which we vacate."" The earlier FR citations (67 FR 58,561, 67 FR 58,529, 68 FR 65,700, 69 FR 3202, and 71 FR 32,006) are cited only as background regulatory history leading to the 2006 final rule.",FOUND,71 FR 75422,E6-21427,2006-12-15,Final Rule Interpreting the Scope of Certain Monitoring Requirements for State and Federal Operating Permits Programs,Environmental Protection Agency,Environmental Protection Agency,,True,2060-AN74,40 CFR 70; 40 CFR 71,https://www.federalregister.gov/documents/2006/12/15/E6-21427/final-rule-interpreting-the-scope-of-certain-monitoring-requirements-for-state-and-federal-operating,,Rule,Bush43,"The purpose of this action is to finalize interpretation of certain existing federal air program operating permits regulations. We proposed an interpretation of these rules on June 2, 2006, and requested comment. This final interpretation responds to the comments we received. The final interpretation is that the plain language and structure of certain sections of the operating permits regulations do not provide an independent basis for requiring or authorizing review and enhancement of existing monitoring in title V permits. We believe that other rules establish a basis for such review and enhancement. Such other rules include the monitoring requirements in certain other sections of the federal operating permits regulations (i.e., periodic monitoring), existing federal air pollution control standards, and regulations implementing State requirements to meet the ambient air quality standards. This final interpretation clarifies the permit content requirements relative to the operating permits regulations and facilitates permit issuance ensuring that air pollution sources can operate and comply with requirements.",,,Title 40 Part 70; Title 40 Part 71,40,,10,George W. Bush,Final rule; notice of final action on interpretation.,2007-01-16,2060-AN74,,,
813930:70 FR 15993,813930,05-1097,0,7,EPA,State of New Jersey v. EPA,03/28/2005,2,Reversed/Vacated,1,-9,-9,Bush43,02/08/2008,Chevron Era,Bush43,0,1,70 FR 15993,"This is an order on petition for panel rehearing in a consolidated case (New Jersey v. EPA) that is primarily about attorneys' fees following the underlying rulemaking challenge. The docket entries reference EPA-70FR15993 and EPA-70FR28606 as the administrative records at issue, and 70 FR 15993 was published before the case filing date of 03/28/2005, making it the most likely challenged rule. The opinion itself deals only with fee calculations, but the underlying case number and FR citations indicate this is a rulemaking challenge to EPA rules published at 70 FR 15993 and 70 FR 28606 (the Clean Air Mercury Rule and related EPA rulemakings). The confidence is medium because the opinion text itself addresses only attorney fee issues rather than the merits of the rulemaking challenge.",NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187064:70 FR 18136,187064,05-1188,0,TRAN,Department of Transportation,"Public Citizen, Inc. v. National Highway Traffic Safety Administration",06/06/2005,5,Dismissed,1,-9,-9,Bush43,01/22/2008,Chevron Era,Bush43,0,1,70 FR 18136,"The court explicitly states that ""several tire manufacturers, a tire industry trade association, and Public Citizen, Inc., petitioned for review of Safety Standard 138 adopted by the National Highway Traffic Safety Administration,"" which was published at 70 Fed. Reg. 18,136 (Apr. 8, 2005). The case was dismissed not on the merits but because Public Citizen lacked Article III standing to challenge the rule, which is still a rulemaking challenge — the dismissal was for lack of standing, not for lack of a final rule. The petitioners sought to have Standard 138 set aside or modified, making this a rulemaking challenge that was dismissed for lack of standing.",FOUND,70 FR 18136,05-6741,2005-04-08,Federal Motor Vehicle Safety Standards; Tire Pressure Monitoring Systems; Controls and Displays,National Highway Traffic Safety Administration,Transportation Department,National Highway Traffic Safety Administration,False,2127-AJ23,49 CFR 571; 49 CFR 585,https://www.federalregister.gov/documents/2005/04/08/05-6741/federal-motor-vehicle-safety-standards-tire-pressure-monitoring-systems-controls-and-displays,True,Rule,Bush43,"This final rule establishes a new Federal motor vehicle safety standard (FMVSS) requiring installation of a tire pressure monitoring system (TPMS) capable of detecting when one or more of a vehicle's tires is significantly under-inflated. This final rule responds to a mandate in the Transportation Recall Enhancement, Accountability, and Documentation (TREAD) Act. This final rule requires installation in all new light vehicles of a TPMS capable of detecting when one or more of the vehicle's tires, up to all four tires, is 25 percent or more below the manufacturer's recommended inflation pressure (placard pressure) or a minimum activation pressure specified in the standard, whichever is higher.",,"{'cfr_part': '571', 'topics': ['Imports', 'Motor vehicle safety', 'Reporting and recordkeeping requirements', 'Tires'], 'cfr_title': 49}; {'cfr_part': '585', 'topics': ['Imports', 'Motor vehicle safety', 'Reporting and recordkeeping requirements', 'Tires'], 'cfr_title': 49}",Title 49 Part 571; Title 49 Part 585,49,Imports; Motor vehicle safety; Reporting and recordkeeping requirements; Tires,56,George W. Bush,Final rule.,2005-04-08,2127-AJ23,"49 U.S.C. 322, 30111, 30115, 30117, and 30166; delegation of authority at 49 CFR 1.50. ; 49 U.S.C. 322, 30111, 30115, 30117, and 30166; delegation of authority at 49 CFR 1.50.","49 USC 322, 49 USC 30111, 49 USC 30115, 49 USC 30117, 49 USC 30166",49
187035:71 FR 654,187035,06-1068,0,7,EPA,City of Portland v. Environmental Protection Agency,02/16/2006,1,Affirmed/Enforced,1,-9,-9,Bush43,11/06/2007,Chevron Era,Bush43,0,1,71 FR 654,"The opinion explicitly states ""Portland and New York City challenge an Environmental Protection Agency rule regulating microbial contaminants in drinking water,"" referring to the Long Term 2 Enhanced Surface Water Treatment Rule published at 71 Fed. Reg. 654 (Jan. 5, 2006). Portland filed a petition for review pursuant to 42 U.S.C. § 300j-7(b), and the court denies the petition after reviewing the cities' challenges to specific requirements of the final rule. The other FR citations are background references to the 1998 predecessor rule, the 2003 proposed rule, and the stakeholder agreement.",FOUND,71 FR 654,06-4,2006-01-05,National Primary Drinking Water Regulations: Long Term 2 Enhanced Surface Water Treatment Rule,Environmental Protection Agency,Environmental Protection Agency,,True,2040-AD37,40 CFR 9; 40 CFR 141; 40 CFR 142,https://www.federalregister.gov/documents/2006/01/05/06-4/national-primary-drinking-water-regulations-long-term-2-enhanced-surface-water-treatment-rule,True,Rule,Bush43,"EPA is promulgating National Primary Drinking Water Regulations that require the use of treatment techniques, along with monitoring, reporting, and public notification requirements, for all public water systems that use surface water sources. The purposes of the Long Term 2 Enhanced Surface Water Treatment Rule (LT2ESWTR) are to protect public health from illness due to Cryptosporidium and other microbial pathogens in drinking water and to address risk-risk trade- offs with the control of disinfection byproducts. Key provisions in the LT2ESWTR include the following: source water monitoring for Cryptosporidium, with a screening procedure to reduce monitoring costs for small systems; risk-targeted Cryptosporidium treatment by filtered systems with the highest source water Cryptosporidium levels; inactivation of Cryptosporidium by all unfiltered systems; criteria for the use of Cryptosporidium treatment and control processes; and covering or treating uncovered finished water storage facilities. EPA believes that implementation of the LT2ESWTR will significantly reduce levels of infectious Cryptosporidium in finished drinking water. This will substantially lower rates of endemic cryptosporidiosis, the illness caused by Cryptosporidium, which can be severe and sometimes fatal in sensitive subpopulations (e.g., infants, people with weakened immune systems). In addition, the treatment technique requirements of this regulation will increase protection against other microbial pathogens like Giardia lamblia.",,"{'cfr_part': '141', 'topics': ['Chemicals', 'Environmental protection', 'Incorporation by reference', 'Indians-lands', 'Intergovernmental relations', 'Radiation protection', 'Reporting and recordkeeping requirements', 'Water supply'], 'cfr_title': 40}; {'cfr_part': '142', 'topics': ['Administrative practice and procedure', 'Chemicals', 'Environmental protection', 'Indians-lands', 'Radiation protection', 'Reporting and recordkeeping requirements', 'Water supply'], 'cfr_title': 40}",Title 40 Part 9; Title 40 Part 141; Title 40 Part 142,40,Administrative practice and procedure; Chemicals; Environmental protection; Incorporation by reference; Indians-lands; Intergovernmental relations; Radiation protection; Reporting and recordkeeping requirements; Water supply,133,George W. Bush,Final rule.,2006-03-06,2040-AD37,"7 U.S.C. 135 et seq. , 136-136y; 15 U.S.C. 2001, 2003, 2005, 2006, 2601-2671; 21 U.S.C. 331j, 346a, 348; 31 U.S.C. 9701; 33 U.S.C. 1251 et seq. , 1311, 1313d, 1314, 1318, 1321, 1326, 1330, 1342, 1344, 1345 (d) and (e), 1361; Executive Order 11735, 38 FR 21243, 3 CFR, 1971-1975 Comp. p. 973; 42 U.S.C. 241, 242b, 243, 246, 300f, 300g, 300g-1, 300g-2, 300g-3, 300g-4, 300g-5, 300g-6, 300j-1, 300j-2, 300j-3, 300j-4, 300j-9, 1857 et seq. , 6901-6992k, 7401-7671q, 7542, 9601-9657, 11023, 11048. ; 42 U.S.C. 300f, 300g-1, 300g-2, 300g-3, 300g-4, 300g-5, 300g-6, 300j-4, 300j-9, and 300j-11. ; 42 U.S.C. 300f, 300g-1, 300g-2, 300g-3, 300g-4, 300g-5, 300g-6, 300j-4, 300j-9 and 300j-11.","7 USC 135, 7 USC 136-136y, 15 USC 2001, 15 USC 2003, 15 USC 2005, 15 USC 2006, 15 USC 2601-2671, 21 USC 331j, 21 USC 346a, 21 USC 348, 31 USC 9701, 33 USC 1251, 33 USC 1311, 33 USC 1313d, 33 USC 1314, 33 USC 1318, 33 USC 1321, 33 USC 1326, 33 USC 1330, 33 USC 1342, 33 USC 1344, 33 USC 1345, 33 USC 1361, 33 USC 38, 33 USC 3, 33 USC 1971-1975, 42 USC 241, 42 USC 242b, 42 USC 243, 42 USC 246, 42 USC 300f, 42 USC 300g, 42 USC 300g-1, 42 USC 300g-2, 42 USC 300g-3, 42 USC 300g-4, 42 USC 300g-5, 42 USC 300g-6, 42 USC 300j-1, 42 USC 300j-2, 42 USC 300j-3, 42 USC 300j-4, 42 USC 300j-9, 42 USC 1857, 42 USC 6901-6992k, 42 USC 7401-7671q, 42 USC 7542, 42 USC 9601-9657, 42 USC 11023, 42 USC 11048, 42 USC 300j-11","7, 15, 21, 31, 33, 42"
187052:71 FR 12468,187052,06-1164,0,7,EPA,"Environmental Defense, Inc. v. Environmental Protection Agency",05/09/2006,3,Mixed (Affirmed in Part),1,-9,-9,Bush43,12/11/2007,Chevron Era,Bush43,0,1,71 FR 12468,"The opinion explicitly states that ""Environmental Defense, Inc., the Natural Resources Defense Council, and the Sierra Club petition for review of a final rule promulgated by the Environmental Protection Agency,"" specifically the PM2.5 and PM10 Hot Spot Analyses Final Rule published at 71 Fed. Reg. 12,468 (Mar. 10, 2006). Petitioners seek remand of sections 93.116 and 123(b) of the Final Rule and vacatur of EPA's decision to withdraw the MOBILE6.2 emissions model. The court grants the petition in part, remanding the Final Rule for EPA to interpret CAA § 176(c)(1)(B)(iii) consistently with (B)(i) and (B)(ii).",FOUND,71 FR 12468,06-2178,2006-03-10,PM2.5 and PM10 Hot-Spot Analyses in Project-Level Transportation Conformity Determinations for the New PM2.5 and Existing PM10 National Ambient Air Quality Standards,Environmental Protection Agency,Environmental Protection Agency,,True,2060-AN02,40 CFR 93,https://www.federalregister.gov/documents/2006/03/10/06-2178/pm25-and-pm10-hot-spot-analyses-in-project-level-transportation-conformity-determinations-for-the,,Rule,Bush43,"This final rule establishes the criteria for determining which transportation projects must be analyzed for local particle emissions impacts in PM2.5 and PM10 nonattainment and maintenance areas. This rule establishes requirements in PM<INF>2.5</INF> areas and revises existing requirements in PM<INF>10</INF> areas. If required, an analysis of local particle emissions impacts is done as part of a transportation project's conformity determination. EPA is requiring a local particle emissions impacts analysis for certain transportation projects to ensure that these projects do not adversely impact the national ambient air quality standards and human health. The Clean Air Act requires federally supported highway and transit projects to be consistent with (""conform to"") the purpose of a state air quality implementation plan. EPA has consulted with the Department of Transportation (DOT) on the development of this final rule, and DOT concurs with its content.",,"{'cfr_part': '93', 'topics': ['Administrative practice and procedure', 'Air pollution control', 'Carbon monoxide', 'Environmental protection', 'Intergovernmental relations', 'Nitrogen dioxide', 'Ozone', 'Particulate matter', 'Transportation', 'Volatile organic compounds'], 'cfr_title': 40}",Title 40 Part 93,40,Administrative practice and procedure; Air pollution control; Carbon monoxide; Environmental protection; Intergovernmental relations; Nitrogen dioxide; Ozone; Particulate matter; Transportation; Volatile organic compounds,44,George W. Bush,Final rule.,2006-04-05,2060-AN02,42 U.S.C. 7401-7671q.,42 USC 7401-7671q,42
187128:nan,187128,06-1343,0,FCC,FCC,"American Radio Relay League, Inc. v. Federal Communications Commission",10/10/2006,3,Mixed (Affirmed in Part),1,-9,-9,Bush43,04/25/2008,Chevron Era,Bush43,0,0,,"The American Radio Relay League petitions for review of two FCC orders promulgating a rule (Amendment of Part 15) regulating Access Broadband Over Power Line systems, explicitly seeking vacatur and obtaining a partial remand of the rule. The sole FR citation (20 Fed. Reg. 10,055) appears only as background historical context for the Commission's longstanding interpretation of section 301, not as the challenged rule itself. The challenged action is the FCC's 2004 Order and 2006 Reconsideration Order amending Part 15 of the FCC's rules, cited by FCC Record number rather than Federal Register citation.",FERC_FCC_FALLBACK,71 FR 47222,E6-13484,2006-08-16,"TCR Sports Broadcasting Holding, L.L.P., Complainant v. Comcast Corporation, Defendant",Federal Communications Commission,Federal Communications Commission,,True,,,https://www.federalregister.gov/documents/2006/08/16/E6-13484/tcr-sports-broadcasting-holding-llp-complainant-v-comcast-corporation-defendant,,Notice,Bush43,,,,,,,,,,,,,,
187074:71 FR 71430,187074,07-1026,0,MSHA,MSHA,National Mining Ass'n v. Mine Safety & Health Administration,02/02/2007,1,Affirmed/Enforced,1,-9,-9,Bush43,01/11/2008,Chevron Era,Bush43,0,1,71 FR 71430,"The opinion explicitly states it is ""On Petition for Review of a Final Rule of the Federal Mine Safety and Health Administration"" and that ""this petition for judicial review, brought by the National Mining Association, seeks to set aside the final rule that replaced the temporary standard."" The final rule under challenge is identified as the ""final emergency mine evacuation rule, 71 Fed. Reg. 71,430 (Dec. 8, 2006),"" codified at 30 C.F.R. § 75.1714-4. The court denied the petition after reviewing claims of inadequate notice, arbitrary and capricious rulemaking, and Regulatory Flexibility Act violations.",FOUND,71 FR 71430,06-9608,2006-12-08,Emergency Mine Evacuation,Mine Safety and Health Administration,Labor Department,Mine Safety and Health Administration,False,1219-AB46,30 CFR 3; 30 CFR 48; 30 CFR 50; 30 CFR 75,https://www.federalregister.gov/documents/2006/12/08/06-9608/emergency-mine-evacuation,,Rule,Bush43,"The Mine Safety and Health Administration (MSHA) is issuing this final rule to revise the Agency's Emergency Temporary Standard (ETS), which addresses standards in the Code of Federal Regulations (CFR), title 30, parts 48, 50, and 75. The final rule includes requirements for increased availability and storage of self-contained self-rescue devices (SCSRs); improved emergency evacuation drills and self-contained self-rescue device training; and the installation and maintenance of lifelines in underground coal mines. In addition, the final rule requires immediate accident notification applicable to all mines. The requirements provide an improved, integrated approach to emergency evacuation training and emergency preparedness. This final rule does not reduce protections afforded miners under existing standards.",,"{'cfr_part': '3', 'topics': ['Reporting and recordkeeping requirements'], 'cfr_title': 30}; {'cfr_part': '48', 'topics': ['Education', 'Mine safety and health', 'Reporting and recordkeeping requirements'], 'cfr_title': 30}; {'cfr_part': '50', 'topics': ['Investigations', 'Mine safety and health', 'Reporting and recordkeeping requirements'], 'cfr_title': 30}; {'cfr_part': '75', 'topics': ['Communications equipment', 'Electric power', 'Emergency medical services', 'Explosives', 'Fire prevention', 'Mine safety and health', 'Reporting and recordkeeping requirements'], 'cfr_title': 30}",Title 30 Part 3; Title 30 Part 48; Title 30 Part 50; Title 30 Part 75,30,Communications equipment; Education; Electric power; Emergency medical services; Explosives; Fire prevention; Investigations; Mine safety and health; Reporting and recordkeeping requirements,26,George W. Bush,Final rule.,2006-12-08,1219-AB46,"30 U.S.C. 957; 44 U.S.C. 3501-3520. ; 30 U.S.C. 811, 825. ; 29 U.S.C. 557(a); 30 U.S.C. 811, 813(j), 951, 957, 961. ; 30 U.S.C. 811.","30 USC 957, 44 USC 3501-3520, 30 USC 811, 30 USC 825, 29 USC 557, 30 USC 951, 30 USC 961","29, 30, 44"
187067:71 FR 75386,187067,07-1040,0,7,EPA,Natural Resources Defense Council v. Environmental Protection Agency,02/12/2007,5,Dismissed,1,-9,-9,Bush43,01/22/2008,Chevron Era,Bush43,0,1,71 FR 75386,"The petitioner explicitly challenges the ""2007 Final Rule"" (71 Fed. Reg. 75,386, Dec. 14, 2006), which is the EPA's 2007 critical use exemption for methyl bromide, asking the court to find it inconsistent with law and arbitrary and capricious. The court is reviewing this final published rule on its merits (and ultimately dismisses on claim preclusion grounds), confirming this is a rulemaking challenge. The 69 Fed. Reg. 76,982 citation is the background 2004 Framework Rule previously litigated, and 72 Fed. Reg. 74,128 is a subsequent 2008 rule mentioned only as context.",FOUND,71 FR 75386,E6-21399,2006-12-14,Protection of Stratospheric Ozone: The 2007 Critical Use Exemption From the Phaseout of Methyl Bromide,Environmental Protection Agency,Environmental Protection Agency,,True,2060-AN54,40 CFR 82,https://www.federalregister.gov/documents/2006/12/14/E6-21399/protection-of-stratospheric-ozone-the-2007-critical-use-exemption-from-the-phaseout-of-methyl,,Rule,Bush43,"EPA is finalizing an exemption to the phaseout of methyl bromide to meet the needs of 2007 critical uses. Specifically, EPA is authorizing uses that will qualify for the 2007 critical use exemption and the amount of methyl bromide that may be produced, imported, or supplied from inventory for those uses in 2007. EPA is taking action under the authority of the Clean Air Act to reflect recent consensus Decisions taken by the Parties to the Montreal Protocol on Substances that Deplete the Ozone Layer (Protocol) at the 17th Meeting of the Parties (MOP).",,"{'cfr_part': '82', 'topics': ['Chemicals', 'Environmental protection', 'Exports', 'Imports'], 'cfr_title': 40}",Title 40 Part 82,40,Chemicals; Environmental protection; Exports; Imports,21,George W. Bush,Final rule.,2006-12-14,2060-AN54,"42 U.S.C. 7414, 7601, 7671-7671q.","42 USC 7414, 42 USC 7601, 42 USC 7671-7671q",42
"187192:71 FR 76,603",187192,07-1053,0,7,EPA,Natural Resources Defense Council v. Environmental Protection Agency,02/20/2007,1,Affirmed/Enforced,1,-9,-9,Bush43,06/06/2008,Chevron Era,Bush43,0,0,"71 FR 76,603","The opinion explicitly states that ""Petitioners...challenge EPA's residual risk rulemaking under subsection 112(f) of the Clean Air Act for facilities that use or produce synthetic organic chemicals"" and ""also challenge EPA's technology review under subsection 112(d)(6)."" The final rule challenged is published at 71 Fed. Reg. 76,603 (2006), which reaffirmed existing emission standards; 71 Fed. Reg. 34,422 is the proposed rule, and 59 Fed. Reg. 19,402 is the original 1994 technology-based standards cited as background. The court denies the petition for review of this final rulemaking action.",FOUND,71 FR 76603,E6-21869,2006-12-21,National Emission Standards for Organic Hazardous Air Pollutants From the Synthetic Organic Chemical Manufacturing Industry,Environmental Protection Agency,Environmental Protection Agency,,True,2060-AK14,40 CFR 63,https://www.federalregister.gov/documents/2006/12/21/E6-21869/national-emission-standards-for-organic-hazardous-air-pollutants-from-the-synthetic-organic-chemical,,Rule,Bush43,"In 1994, EPA promulgated national emission standards for hazardous air pollutants (NESHAP) for the synthetic organic chemical manufacturing industry. This rule is commonly known as the hazardous organic NESHAP (HON) and established maximum achievable control technology standards to regulate the emissions of hazardous air pollutants from production processes that are located at major sources. The Clean Air Act directs EPA to assess the risk remaining (residual risk) after the application of the maximum achievable control technology standards and to promulgate additional standards if required to provide an ample margin of safety to protect public health or prevent an adverse environmental effect. The Clean Air Act also requires us to review and revise maximum achievable control technology standards, as necessary, every 8 years, taking into account developments in practices, processes, and control technologies that have occurred during that time. On June 14, 2006, EPA proposed two options regarding whether to amend the current emission standards for synthetic organic chemical manufacturing industry units. This action finalizes one of those options, and reflects our decision not to impose further controls and not to revise the existing standards based on the residual risk and technology review. It also amends the existing regulations in certain aspects.",,"{'cfr_part': '63', 'topics': ['Administrative practice and procedure', 'Air pollution control', 'Environmental protection', 'Intergovernmental relations', 'Reporting and recordkeeping requirements'], 'cfr_title': 40}",Title 40 Part 63,40,Administrative practice and procedure; Air pollution control; Environmental protection; Intergovernmental relations; Reporting and recordkeeping requirements,13,George W. Bush,Final rule.,2006-12-21,2060-AK14,"42 U.S.C. 7401, et seq.",42 USC 7401,42
187047:71 FR 17362,187047,07-5153,0,-9,NON-AGENCY,"Fishing Co. of Alaska, Inc. v. Gutierrez",05/17/2007,2,Reversed/Vacated,3,893,2,Bush43,12/18/2007,Chevron Era,Bush43,0,1,71 FR 17362,"The court explicitly identifies the challenged action as the ""Groundfish Retention Standard, 71 Fed. Reg. 17,362 (Apr. 6, 2006)"" (the ""Final Rule""), and reverses the district court with instructions ""to vacate the three disputed M&E requirements of the Final Rule."" FCA challenged the rule as unlawful because the Service added monitoring and enforcement requirements without the required Council action under the MSA. The 70 Fed. Reg. 35,054 citation refers only to the Proposed Rule, included as background context.",FOUND,71 FR 17362,06-3265,2006-04-06,Fisheries of the Exclusive Economic Zone Off Alaska; Groundfish Retention Standard,National Oceanic and Atmospheric Administration,Commerce Department,National Oceanic and Atmospheric Administration,False,0648-AT04,50 CFR 679,https://www.federalregister.gov/documents/2006/04/06/06-3265/fisheries-of-the-exclusive-economic-zone-off-alaska-groundfish-retention-standard,,Rule,Bush43,"NMFS issues a final rule to implement a groundfish retention standard (GRS) program in the Bering Sea and Aleutian Island management area (BSAI) for trawl catcher/processor vessels (C/Ps) that are 125 ft (38.1 m) length overall (LOA) or greater and that are not listed American Fisheries Act (AFA) catcher/processors referred to throughout this rule as non-AFA trawl C/Ps. This action is necessary to reduce bycatch and improve utilization of groundfish harvested by these non- AFA trawl C/Ps. This action is intended to promote the management objectives of the Improved Retention/Improved Utilization (IRIU) program, the Fishery Management Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area (FMP), and the Magnuson-Stevens Fishery Conservation and Management Act (Magnuson-Stevens Act).",,"{'cfr_part': '679', 'topics': ['Alaska', 'Fisheries', 'Reporting and recordkeeping requirements'], 'cfr_title': 50}",Title 50 Part 679,50,Alaska; Fisheries; Reporting and recordkeeping requirements,22,George W. Bush,Final rule.,2008-01-20,0648-AT04,16 U.S.C. 773 et seq. ; 1540(f); 1801 et seq. ; 1851 note; 3631 et seq.,16 USC 773,16
